Input_A1_001,Input_A1_002,Input_A1_003,Input_A1_004,Input_A1_005,Input_A1_006,Input_A1_007,Input_A1_008,Input_A1_009,Input_A1_010,Input_A1_011,Input_A1_012,Input_A1_013,Input_A1_014,Input_A1_015,Input_A1_016,Input_A1_017,Input_A1_018,Input_A1_019,Input_A1_020,Input_A1_021,Input_A1_022,Input_A1_023,Input_A1_024,Input_A2_001,Input_A2_002,Input_A2_003,Input_A2_004,Input_A2_005,Input_A2_006,Input_A2_007,Input_A2_008,Input_A2_009,Input_A2_010,Input_A2_011,Input_A2_012,Input_A2_013,Input_A2_014,Input_A2_015,Input_A2_016,Input_A2_017,Input_A2_018,Input_A2_019,Input_A2_020,Input_A2_021,Input_A2_022,Input_A2_023,Input_A2_024,Input_A3_001,Input_A3_002,Input_A3_003,Input_A3_004,Input_A3_005,Input_A3_006,Input_A3_007,Input_A3_008,Input_A3_009,Input_A3_010,Input_A3_011,Input_A3_012,Input_A3_013,Input_A3_014,Input_A3_015,Input_A3_016,Input_A3_017,Input_A3_018,Input_A3_019,Input_A3_020,Input_A3_021,Input_A3_022,Input_A3_023,Input_A3_024,Input_A4_001,Input_A4_002,Input_A4_003,Input_A4_004,Input_A4_005,Input_A4_006,Input_A4_007,Input_A4_008,Input_A4_009,Input_A4_010,Input_A4_011,Input_A4_012,Input_A4_013,Input_A4_014,Input_A4_015,Input_A4_016,Input_A4_017,Input_A4_018,Input_A4_019,Input_A4_020,Input_A4_021,Input_A4_022,Input_A4_023,Input_A4_024,Input_A5_001,Input_A5_002,Input_A5_003,Input_A5_004,Input_A5_005,Input_A5_006,Input_A5_007,Input_A5_008,Input_A5_009,Input_A5_010,Input_A5_011,Input_A5_012,Input_A5_013,Input_A5_014,Input_A5_015,Input_A5_016,Input_A5_017,Input_A5_018,Input_A5_019,Input_A5_020,Input_A5_021,Input_A5_022,Input_A5_023,Input_A5_024,Input_A6_001,Input_A6_002,Input_A6_003,Input_A6_004,Input_A6_005,Input_A6_006,Input_A6_007,Input_A6_008,Input_A6_009,Input_A6_010,Input_A6_011,Input_A6_012,Input_A6_013,Input_A6_014,Input_A6_015,Input_A6_016,Input_A6_017,Input_A6_018,Input_A6_019,Input_A6_020,Input_A6_021,Input_A6_022,Input_A6_023,Input_A6_024,Input_C_001,Input_C_002,Input_C_003,Input_C_004,Input_C_005,Input_C_006,Input_C_007,Input_C_008,Input_C_009,Input_C_010,Input_C_011,Input_C_012,Input_C_013,Input_C_014,Input_C_039,Input_C_040,Input_C_041,Input_C_042,Input_C_043,Input_C_044,Input_C_045,Input_C_046,Input_C_047,Input_C_048,Input_C_049,Input_C_050,Input_C_051,Input_C_052,Input_C_053,Input_C_054,Input_C_055,Input_C_056,Input_C_057,Input_C_058,Input_C_059,Input_C_060,Input_C_061,Input_C_062,Input_C_083,Input_C_084,Input_C_085,Input_C_086,Input_C_087,Input_C_088,Input_C_089,Input_C_090,Input_C_091,Input_C_092,Input_C_093,Input_C_094,Input_C_095,Input_C_096,Input_C_097,Input_C_098,Input_C_099,Input_C_100,Input_C_101,Input_C_102,Input_C_103,Input_C_104,Input_C_105,Input_C_106,Input_C_107,Input_C_108,Input_C_109,Input_C_110,Input_C_111,Input_C_112,Input_C_113,Input_C_114,Input_C_115,Input_C_116,Input_C_117,Input_C_118,Input_C_119,Input_C_120,Input_C_121,Input_C_122,Input_C_123,Input_C_124,Input_C_125,Input_C_126,Input_C_127,Input_C_128,Input_C_129,Input_C_130,Input_C_131,Input_C_132,Input_C_133,Input_C_134,Input_C_135,Input_C_136,Input_C_137,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6
0.0,0.0,0.0,0.0,0.0,0.016,0.01,0.002,0.004,0.002,0.002,0.01,0.008,0.008,-0.02,-0.02,-0.03,-0.01,-0.03,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.002,0.004,0.002,0.002,0.004,0.006,0.006,-0.02,-0.02,-0.01,-0.03,-0.02,0.1,0.5,-0.01,-0.01,-0.01,0.0,0.0,0.02,0.04,0.09,0.004,0.016,0.002,0.004,0.002,0.005,0.01,0.006,0.006,0.03,-0.03,-0.02,-0.04,-0.01,0.2,0.4,-0.03,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.012,0.002,0.002,0.002,0.002,0.004,0.006,0.004,0.03,-0.01,-0.02,-0.01,-0.03,1.0,0.4,-0.02,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.013999999999999999,0.002,0.003,0.002,0.002,0.004,0.002,0.008,-0.04,-0.03,-0.01,-0.02,-0.01,0.2,0.4,-0.02,-0.02,-0.02,0.16,0.14,0.07,0.03,0.0,0.004,0.013999999999999999,0.002,0.004,0.002,0.002,0.01,0.004,0.006,-0.01,-0.02,-0.03,-0.02,-0.01,0.2,0.5,-0.01,-0.01,-0.01,3.6,0.04,0.04,0.0,0.002,0,0.002,2.0,0.04,0.02,0.003,0.005,0.005,0.005,0.0011,0.0011,0.0008,0.0009,0.0008,0.0011,0.0009,0.0009,0.0009,0.0007,0.0005,0.005,0.003,0.005,0.004,0.003,0.008,0.004,0.009000000000000001,0.005,0.005,0.013999999999999999,834.0,835.0,3.0,0.042,0.008,0.01,0.004,0.006,0.004,0.008,0.006,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.01,0.02,0.02,0.01,15.92,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,159.07,0.04,0.03,0.02,0.04,0.01,0.04,0.01,0.04,0.02,0.03,0.02,0.01,0.01,0.02,0.04,0.03,0.03,0.02,0,0.004,0.004,3.8,1.0,1.0,4.9510000000000005,4.625,4.367,4.145,4.31,4.221
0.0,0.0,0.0,0.0,0.0,0.002,0.013000000000000001,0.002,0.002,0.002,0.002,0.008,0.008,0.008,-0.02,-0.02,-0.03,-0.02,-0.02,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.002,0.002,0.002,0.002,0.008,0.006,0.006,-0.03,-0.03,-0.02,-0.02,-0.01,0.2,0.6,-0.01,-0.01,-0.01,0.07,0.05,0.03,0.0,0.0,0.002,0.005,0.002,0.005,0.002,0.002,0.01,0.006,0.006,-0.03,-0.02,-0.01,-0.03,-0.03,0.2,0.6,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.002,0.005,0.002,0.003,0.008,0.004,0.004,0.02,-0.01,-0.02,-0.03,-0.02,0.2,0.6,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.006999999999999999,0.002,0.003,0.002,0.002,0.006,0.004,0.008,0.01,-0.03,-0.02,-0.03,-0.01,0.2,0.6,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.006,0.002,0.003,0.002,0.004,0.008,0.006,0.008,-0.02,-0.02,-0.01,-0.02,-0.02,0.2,0.5,-0.01,-0.01,-0.01,4.0,0.04,0.04,0.0,0.002,0,0.0,2.5,0.04,0.02,0.003,0.004,0.004,0.005,0.0008,0.0007,0.001,0.0011,0.0008,0.0008,0.0008,0.0009,0.0006,0.0006,0.0006,0.005,0.002,0.006999999999999999,0.005,0.003,0.01,0.005,0.015,0.006,0.005,0.018000000000000002,835.0,834.0,2.5,0.04,0.02,0.004,0.004,0.005,0.004,0.003,0.004,0.02,0.02,0.01,0.01,0.0,0.02,0.02,0.01,0.0,0.01,0.01,0.0,15.98,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.01,0.04,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.03,0.04,0.04,0.02,0.01,0.05,0.05,0.03,0.03,0,-0.005,-0.006,3.6,2.0,2.0,3.2239999999999998,3.8989999999999996,2.9210000000000003,3.185,3.483,3.135
0.0,0.0,0.0,0.03,0.05,0.002,0.013999999999999999,0.002,0.002,0.002,0.004,0.006,0.008,0.008,0.04,-0.04,-0.04,-0.05,-0.04,0.1,0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.002,0.002,0.002,0.004,0.008,0.004,0.004,-0.01,-0.05,-0.05,-0.04,-0.05,0.3,0.594,0.01,0.01,0.01,0.0,0.0,0.02,0.04,0.09,0.013999999999999999,0.004,0.002,0.004,0.002,0.004,0.01,0.006,0.006,0.02,-0.05,-0.05,-0.05,-0.05,0.1,0.599,0.03,0.03,0.03,0.0,0.0,0.03,0.05,0.1,0.003,0.01,0.002,0.003,0.002,0.005,0.01,0.006,0.004,0.04,-0.05,-0.04,-0.04,-0.04,0.4,0.564,0.03,0.03,0.03,0.0,0.0,0.02,0.04,0.09,0.013999999999999999,0.008,0.002,0.002,0.002,0.004,0.008,0.004,0.006,-0.03,-0.05,-0.04,-0.05,-0.02,0.1,0.5770000000000001,0.02,0.02,0.02,0.0,0.0,0.02,0.04,0.09,0.006,0.002,0.002,0.002,0.002,0.003,0.01,0.008,0.004,0.01,-0.05,-0.05,-0.04,-0.05,1.2,0.564,0.01,0.01,0.01,3.6,0.04,0.04,0.0,0.002,0,0.002,3.0,0.04,0.01,0.003,0.005,0.005,0.006,0.0011,0.0009,0.0006,0.0005,0.0003,0.0007,0.0006,0.0007,0.0008,0.0011,0.0007,0.005,0.002,0.006999999999999999,0.004,0.006999999999999999,0.012,0.005,0.016,0.01,0.005,0.006999999999999999,835.0,834.0,2.8,0.04,0.03,0.01,0.006,0.004,0.006,0.006,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.01,0.01,15.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.02,0.03,0.03,0.04,0.04,0.02,0.01,0.01,0.02,0.04,0.04,0.04,0.02,0.03,0.04,0.04,0.02,0.03,0,0.004,0.005,3.8,1.0,1.0,4.711,3.2680000000000002,4.213,2.858,3.745,3.1519999999999997
0.0,0.0,0.0,0.0,0.02,0.003,0.01,0.002,0.004,0.002,0.004,0.008,0.008,0.002,0.05,-0.02,-0.03,-0.01,-0.02,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.008,0.016,0.002,0.002,0.002,0.004,0.01,0.006,0.006,0.05,-0.05,-0.02,-0.03,-0.01,1.0,0.597,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.002,0.002,0.002,0.004,0.008,0.006,0.006,0.05,-0.05,-0.01,-0.01,-0.01,1.0,0.6,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.016,0.002,0.002,0.002,0.002,0.01,0.004,0.004,0.05,-0.04,-0.02,-0.02,-0.01,1.0,0.541,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.012,0.018000000000000002,0.002,0.004,0.002,0.004,0.01,0.006,0.006,0.05,-0.04,-0.04,-0.03,-0.05,1.0,0.6,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.002,0.002,0.002,0.002,0.01,0.002,0.004,0.05,-0.02,-0.03,-0.02,-0.01,1.0,0.6,0.01,0.0,0.01,4.0,0.04,0.04,0.005,0.0,0,0.0,2.5,0.04,0.03,0.003,0.002,0.004,0.003,0.0017,0.0014,0.001,0.0009,0.0009,0.001,0.0011,0.0004,0.0006,0.0004,0.0002,0.006999999999999999,0.004,0.013000000000000001,0.003,0.012,0.015,0.004,0.013999999999999999,0.015,0.005,0.016,834.0,834.0,,,,,,,,,,0.01,0.01,0.02,0.02,0.0,0.01,0.0,0.0,0.02,0.02,0.02,0.01,15.82,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,159.05,0.04,0.03,0.03,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0,0.005,0.003,3.5,1.0,1.0,2.8810000000000002,3.593,3.503,3.529,3.74,2.9360000000000004
0.0,0.0,0.0,0.02,0.04,0.006,0.02,0.002,0.004,0.002,0.002,0.008,0.008,0.008,0.02,-0.05,-0.03,-0.03,-0.05,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.002,0.016,0.002,0.004,0.002,0.002,0.01,0.006,0.004,0.03,-0.04,-0.04,-0.02,-0.03,0.0,0.455,0.01,0.01,0.01,0.0,0.0,0.02,0.04,0.08,0.008,0.02,0.002,0.002,0.002,0.002,0.01,0.008,0.006,0.01,-0.05,-0.02,-0.04,-0.02,0.1,0.5670000000000001,0.03,0.03,0.03,0.0,0.0,0.0,0.03,0.05,0.002,0.018000000000000002,0.002,0.003,0.002,0.004,0.01,0.004,0.004,0.02,-0.03,-0.04,-0.05,-0.02,0.0,0.523,0.03,0.03,0.03,0.0,0.0,0.0,0.03,0.05,0.002,0.018000000000000002,0.002,0.003,0.002,0.004,0.008,0.006,0.002,0.02,-0.04,-0.05,-0.03,-0.04,0.0,0.514,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.018000000000000002,0.002,0.003,0.002,0.003,0.008,0.008,0.006,0.02,-0.05,-0.03,-0.05,-0.02,0.0,0.532,-0.01,-0.01,-0.01,3.6,0.04,0.04,0.0,0.0,0,0.002,3.0,0.04,0.02,0.003,0.005,0.005,0.006,0.0012,0.0011,0.0008,0.0014,0.0012,0.001,0.0012,0.0008,0.001,0.0008,0.0007,0.006999999999999999,0.002,0.006,0.005,0.004,0.008,0.005,0.018000000000000002,0.006,0.004,0.021,834.0,834.0,,,,,,,,,,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.0,0.01,15.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.02,0.04,0.04,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.04,0,0.004,0.003,3.7,1.0,1.0,3.927,3.385,4.203,3.392,3.327,3.674
0.0,0.0,0.0,0.02,0.03,0.002,0.006,0.002,0.005,0.002,0.003,0.005,0.004,0.006,0.03,-0.02,-0.02,-0.03,-0.02,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.002,0.008,0.002,0.002,0.002,0.005,0.006,0.006,0.008,0.03,-0.03,-0.03,-0.02,-0.02,0.0,0.5579999999999999,-0.01,-0.01,-0.001,0.0,0.0,0.02,0.04,0.08,0.002,0.012,0.002,0.003,0.002,0.004,0.006,0.006,0.006,0.024,-0.01,-0.01,-0.02,-0.02,0.0,0.586,0.01,0.01,0.01,0.0,0.0,0.02,0.05,0.09,0.003,0.01,0.002,0.005,0.002,0.003,0.01,0.008,0.004,0.03,-0.03,-0.04,-0.04,-0.04,0.0,0.547,0.03,0.03,0.03,0.0,0.0,0.0,0.03,0.05,0.006,0.008,0.002,0.004,0.002,0.005,0.008,0.006,0.008,0.03,-0.02,-0.02,-0.03,-0.02,0.0,0.5820000000000001,0.02,0.02,0.02,0.0,0.0,0.0,0.03,0.05,0.004,0.006,0.002,0.005,0.002,0.003,0.01,0.004,0.006,0.022000000000000002,-0.03,-0.01,-0.02,-0.02,8.0,0.536,0.01,0.01,0.01,3.0,0.04,0.04,0.0,0.0,0,0.002,2.5,0.04,0.02,0.003,0.005,0.005,0.006,0.0012,0.001,0.0008,0.0008,0.001,0.0006,0.0008,0.0012,0.0009,0.0006,0.0004,0.008,0.003,0.01,0.004,0.01,0.012,0.006,0.015,0.015,0.005,0.011000000000000001,834.0,834.0,2.5,0.04,0.015,0.003,0.004,0.005,0.004,0.003,0.004,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.02,0.01,0.01,0.0,15.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.04,0.04,0.03,0.02,0.03,0.04,0.03,0.04,0.03,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.03,0.04,0,-0.006999999999999999,-0.003,3.9,1.0,1.0,3.6180000000000003,3.23,3.786,3.1519999999999997,3.363,3.798
0.0,0.0,0.0,0.02,0.03,0.006,0.012,0.002,0.004,0.002,0.004,0.01,0.008,0.006,-0.01,-0.04,-0.04,-0.03,-0.04,0.1,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.002,0.002,0.002,0.004,0.01,0.006,0.006,0.03,-0.04,-0.04,-0.04,-0.04,0.5,0.563,0.02,0.02,0.02,0.0,0.0,0.0,0.03,0.05,0.006,0.009000000000000001,0.002,0.003,0.002,0.004,0.004,0.006,0.004,0.01,-0.05,-0.04,-0.04,-0.05,1.1,0.551,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.002,0.002,0.002,0.002,0.009000000000000001,0.004,0.004,-0.02,-0.04,-0.03,-0.04,-0.03,0.7,0.573,0.04,0.04,0.04,0.0,0.0,0.0,0.03,0.05,0.002,0.002,0.002,0.002,0.002,0.004,0.006,0.004,0.006,0.03,-0.03,-0.04,-0.04,-0.04,0.1,0.562,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.009000000000000001,0.002,0.002,0.002,0.004,0.009000000000000001,0.008,0.008,0.02,-0.02,-0.03,-0.03,-0.01,0.2,0.5870000000000001,0.01,0.01,0.01,3.8,0.04,0.04,0.0,0.002,0,0.0,2.5,0.04,0.02,0.003,0.005,0.005,0.005,0.0019,0.0009,0.0007,0.001,0.0016,0.0004,0.0004,0.0013,0.0006,0.0009,0.0004,0.013999999999999999,0.002,0.013000000000000001,0.004,0.013000000000000001,0.013999999999999999,0.003,0.018000000000000002,0.016,0.004,0.019,834.0,834.0,2.5,0.04,0.01,0.004,0.004,0.004,0.003,0.004,0.003,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.01,15.97,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.01,0.04,0.01,0.04,0.03,0.05,0.05,0.01,0.01,0.03,0.04,0.03,0.01,0.01,0.02,0.01,0.04,0.05,0,0.004,0.008,3.8,2.0,2.0,4.683,4.027,4.2989999999999995,4.638999999999999,3.675,4.485
0.0,0.0,0.02,0.04,0.08,0.002,0.01,0.002,0.002,0.002,0.005,0.006999999999999999,0.004,0.006,0.02,-0.03,-0.02,-0.02,-0.03,0.1,0.574,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.002,0.004,0.002,0.002,0.008,0.006,0.008,-0.03,-0.04,-0.04,-0.04,-0.04,0.2,0.524,-0.01,-0.01,0.0,0.08,0.06,0.03,0.0,0.0,0.008,0.01,0.002,0.002,0.002,0.002,0.006,0.006,0.006,0.01,-0.05,-0.04,-0.04,-0.05,0.1,0.599,0.02,0.02,0.03,0.0,0.0,0.0,0.02,0.03,0.002,0.013999999999999999,0.002,0.005,0.002,0.005,0.01,0.008,0.004,0.02,-0.05,-0.05,-0.05,-0.05,0.1,0.574,0.03,0.03,0.04,0.0,0.0,0.02,0.04,0.09,0.002,0.004,0.002,0.004,0.002,0.004,0.004,0.004,0.004,0.05,-0.05,-0.04,-0.04,-0.05,0.3,0.493,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.013999999999999999,0.002,0.004,0.002,0.005,0.01,0.008,0.004,-0.04,-0.04,-0.05,-0.04,-0.05,0.1,0.591,0.01,0.01,0.02,3.8,0.04,0.04,0.0,0.0,0,0.002,2.5,0.04,0.02,0.003,0.005,0.004,0.005,0.0011,0.0011,0.001,0.0012,0.0008,0.0009,0.0009,0.0005,0.0007,0.0007,0.0006,0.005,0.002,0.006999999999999999,0.005,0.006999999999999999,0.009000000000000001,0.004,0.01,0.011000000000000001,0.004,0.01,834.0,834.0,2.5,0.04,0.02,0.003,0.004,0.004,0.004,0.003,0.004,0.01,0.01,0.0,0.01,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.02,15.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.02,0.03,0.02,0.04,0.04,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.03,0.04,0.03,0,0.006999999999999999,0.006,3.9,1.0,1.0,3.42,3.77,3.897,3.4589999999999996,3.0810000000000004,3.361
0.09,0.07,0.04,0.02,0.0,0.002,0.027999999999999997,0.002,0.004,0.002,0.003,0.01,0.004,0.002,-0.05,-0.02,-0.05,-0.05,-0.03,1.0,0.6,0.0,0.0,0.0,0.1,0.08,0.04,0.02,0.0,0.002,0.018000000000000002,0.002,0.003,0.002,0.004,0.008,0.002,0.004,-0.05,-0.05,-0.05,-0.04,-0.05,1.0,0.6,0.02,0.02,0.02,0.08,0.06,0.03,0.0,0.0,0.005,0.012,0.002,0.005,0.002,0.004,0.008,0.002,0.006,-0.05,-0.04,-0.04,-0.05,-0.05,1.0,0.6,0.03,0.03,0.03,0.0,0.0,0.02,0.03,0.08,0.006,0.006,0.002,0.004,0.002,0.002,0.009000000000000001,0.006,0.002,-0.05,-0.03,-0.04,-0.03,-0.05,1.0,0.555,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.006,0.02,0.002,0.002,0.002,0.004,0.01,0.004,0.002,-0.05,-0.02,-0.05,-0.05,-0.05,1.0,0.527,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.016,0.012,0.002,0.003,0.002,0.004,0.008,0.004,0.004,-0.05,-0.05,-0.03,-0.02,-0.05,1.0,0.565,0.0,0.0,0.0,4.5,0.04,0.04,0.0,0.002,0,0.002,2.5,0.04,0.02,0.003,0.005,0.004,0.005,0.0008,0.0007,0.0013,0.0012,0.001,0.0012,0.0015,0.0011,0.0006,0.0007,0.0004,0.005,0.002,0.006,0.004,0.003,0.011000000000000001,0.005,0.011000000000000001,0.004,0.004,0.013000000000000001,834.0,834.0,,,,,,,,,,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.01,15.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,159.07,0.04,0.04,0.01,0.01,0.03,0.03,0.03,0.03,0.01,0.04,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0,0.004,0.004,4.0,1.0,1.0,4.022,3.4530000000000003,3.734,4.271,3.2710000000000004,4.324
0.07,0.05,0.03,0.0,0.0,0.002,0.02,0.002,0.004,0.002,0.004,0.006,0.004,0.006,0.01,-0.03,-0.02,-0.01,-0.03,0.1,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.02,0.002,0.003,0.002,0.004,0.008,0.002,0.004,-0.02,-0.04,-0.02,-0.01,-0.03,0.2,0.5720000000000001,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.002,0.005,0.002,0.002,0.006,0.002,0.004,-0.01,-0.05,-0.04,-0.03,-0.04,0.1,0.5660000000000001,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.03,0.002,0.01,0.002,0.005,0.002,0.004,0.01,0.006,0.002,0.03,-0.04,-0.03,-0.02,-0.03,0.2,0.5710000000000001,-0.02,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.002,0.005,0.002,0.002,0.01,0.004,0.008,-0.02,-0.05,-0.05,-0.04,-0.05,0.0,0.5920000000000001,-0.03,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.022000000000000002,0.002,0.003,0.002,0.003,0.008,0.002,0.004,0.03,-0.05,-0.05,-0.05,-0.05,0.2,0.588,0.0,0.0,0.0,4.0,0.04,0.04,0.0,0.002,0,0.002,2.0,0.04,0.02,0.003,0.005,0.004,0.005,0.0012,0.0011,0.0009,0.0009,0.0008,0.0012,0.0013,0.0012,0.0005,0.0006,0.0004,0.006,0.002,0.005,0.004,0.003,0.01,0.006,0.016,0.005,0.005,0.012,835.0,835.0,,,,,,,,,,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,15.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,159.07,0.04,0.04,0.03,0.03,0.02,0.04,0.01,0.03,0.03,0.02,0.01,0.04,0.01,0.03,0.01,0.04,0.04,0.01,0,0.006999999999999999,0.004,4.0,1.0,1.0,3.516,3.072,4.636,3.141,3.742,3.677
